 TIME                                   	SERIAL                                  	
  +2.1250000000000000E+01	  +4.5658885416666664E+04	
  +2.1500000000000000E+01	  +4.5658895833333336E+04	
  +2.1750000000000000E+01	  +4.5658906250000000E+04	
  +2.2000000000000000E+01	  +4.5658916666666664E+04	
  +2.2250000000000000E+01	  +4.5658927083333336E+04	
  +2.2500000000000000E+01	  +4.5658937500000000E+04	
  +2.2750000000000000E+01	  +4.5658947916666664E+04	
  +2.3000000000000000E+01	  +4.5658958333333336E+04	
  +2.3250000000000000E+01	  +4.5658968750000000E+04	
  +2.3500000000000000E+01	  +4.5658979166666664E+04	
  +2.3750000000000000E+01	  +4.5658989583333336E+04	
  +2.4000000000000000E+01	  +4.5659000000000000E+04	
  +2.4250000000000000E+01	  +4.5659010416666664E+04	
  +2.4500000000000000E+01	  +4.5659020833333336E+04	
  +2.4750000000000000E+01	  +4.5659031250000000E+04	
  +2.5000000000000000E+01	  +4.5659041666666664E+04	
  +2.5250000000000000E+01	  +4.5659052083333336E+04	
  +2.5500000000000000E+01	  +4.5659062500000000E+04	
  +2.5750000000000000E+01	  +4.5659072916666664E+04	
  +2.6000000000000000E+01	  +4.5659083333333336E+04	
  +2.6250000000000000E+01	  +4.5659093750000000E+04	
  +2.6500000000000000E+01	  +4.5659104166666664E+04	
  +2.6750000000000000E+01	  +4.5659114583333336E+04	
  +2.7000000000000000E+01	  +4.5659125000000000E+04	
  +2.7250000000000000E+01	  +4.5659135416666664E+04	
  +2.7500000000000000E+01	  +4.5659145833333336E+04	
  +2.7750000000000000E+01	  +4.5659156250000000E+04	
  +2.8000000000000000E+01	  +4.5659166666666664E+04	
  +2.8250000000000000E+01	  +4.5659177083333336E+04	
  +2.8500000000000000E+01	  +4.5659187500000000E+04	
  +2.8750000000000000E+01	  +4.5659197916666664E+04	
  +2.9000000000000000E+01	  +4.5659208333333336E+04	
  +2.9250000000000000E+01	  +4.5659218750000000E+04	
  +2.9500000000000000E+01	  +4.5659229166666664E+04	
  +2.9750000000000000E+01	  +4.5659239583333336E+04	
  +3.0000000000000000E+01	  +4.5659250000000000E+04	
  +3.0250000000000000E+01	  +4.5659260416666664E+04	
  +3.0500000000000000E+01	  +4.5659270833333336E+04	
  +3.0750000000000000E+01	  +4.5659281250000000E+04	
  +3.1000000000000000E+01	  +4.5659291666666664E+04	
  +3.1250000000000000E+01	  +4.5659302083333336E+04	
  +3.1500000000000000E+01	  +4.5659312500000000E+04	
  +3.1750000000000000E+01	  +4.5659322916666664E+04	
  +3.2000000000000000E+01	  +4.5659333333333336E+04	
  +3.2250000000000000E+01	  +4.5659343750000000E+04	
  +3.2500000000000000E+01	  +4.5659354166666664E+04	
  +3.2750000000000000E+01	  +4.5659364583333336E+04	
  +3.3000000000000000E+01	  +4.5659375000000000E+04	
  +3.3250000000000000E+01	  +4.5659385416666664E+04	
  +3.3500000000000000E+01	  +4.5659395833333336E+04	
  +3.3750000000000000E+01	  +4.5659406250000000E+04	
  +3.4000000000000000E+01	  +4.5659416666666664E+04	
  +3.4250000000000000E+01	  +4.5659427083333336E+04	
  +3.4500000000000000E+01	  +4.5659437500000000E+04	
  +3.4750000000000000E+01	  +4.5659447916666664E+04	
  +3.5000000000000000E+01	  +4.5659458333333336E+04	
  +3.5250000000000000E+01	  +4.5659468750000000E+04	
  +3.5500000000000000E+01	  +4.5659479166666664E+04	
  +3.5750000000000000E+01	  +4.5659489583333336E+04	
  +3.6000000000000000E+01	  +4.5659500000000000E+04	
  +3.6250000000000000E+01	  +4.5659510416666664E+04	
  +3.6500000000000000E+01	  +4.5659520833333336E+04	
  +3.6750000000000000E+01	  +4.5659531250000000E+04	
  +3.7000000000000000E+01	  +4.5659541666666664E+04	
  +3.7250000000000000E+01	  +4.5659552083333336E+04	
  +3.7500000000000000E+01	  +4.5659562500000000E+04	
  +3.7750000000000000E+01	  +4.5659572916666664E+04	
  +3.8000000000000000E+01	  +4.5659583333333336E+04	
  +3.8250000000000000E+01	  +4.5659593750000000E+04	
  +3.8500000000000000E+01	  +4.5659604166666664E+04	
  +3.8750000000000000E+01	  +4.5659614583333336E+04	
  +3.9000000000000000E+01	  +4.5659625000000000E+04	
  +3.9250000000000000E+01	  +4.5659635416666664E+04	
  +3.9500000000000000E+01	  +4.5659645833333336E+04	
  +3.9750000000000000E+01	  +4.5659656250000000E+04	
  +4.0000000000000000E+01	  +4.5659666666666664E+04	
  +4.0250000000000000E+01	  +4.5659677083333336E+04	
  +4.0500000000000000E+01	  +4.5659687500000000E+04	
  +4.0750000000000000E+01	  +4.5659697916666664E+04	
  +4.1000000000000000E+01	  +4.5659708333333336E+04	
  +4.1250000000000000E+01	  +4.5659718750000000E+04	
  +4.1500000000000000E+01	  +4.5659729166666664E+04	
  +4.1750000000000000E+01	  +4.5659739583333336E+04	
  +4.2000000000000000E+01	  +4.5659750000000000E+04	
  +4.2250000000000000E+01	  +4.5659760416666664E+04	
  +4.2500000000000000E+01	  +4.5659770833333336E+04	
  +4.2750000000000000E+01	  +4.5659781250000000E+04	
  +4.3000000000000000E+01	  +4.5659791666666664E+04	
  +4.3250000000000000E+01	  +4.5659802083333336E+04	
